ID,CLASS
ISIC_0055289,8
ISIC_0062682,2
ISIC_0057706,5
ISIC_0031702,6
ISIC_0069272,4
ISIC_0010000,7
ISIC_0027623,6
ISIC_0029736,3
ISIC_0025118,2
ISIC_0029920,2
ISIC_0059046,1
ISIC_0069197,2
ISIC_0058071,5
ISIC_0062931,7
ISIC_0029808,1
ISIC_0027485,8
ISIC_0031511,5
ISIC_0033772,1
ISIC_0067674,2
ISIC_0064315,4
ISIC_0070953,2
ISIC_0033430,1
ISIC_0024883,3
ISIC_0072123,1
ISIC_0014695,2
ISIC_0033374,6
ISIC_0062892,5
ISIC_0056861,6
ISIC_0059199,7
ISIC_0013644,2
ISIC_0054074,6
ISIC_0053711,1
ISIC_0030440,2
ISIC_0026464,2
ISIC_0029265,4
ISIC_0059527,6
ISIC_0067734,5
ISIC_0058513,7
ISIC_0059118,5
ISIC_0071335,5
ISIC_0068607,7
ISIC_0014178,7
ISIC_0032098,1
ISIC_0070227,7
ISIC_0059617,3
ISIC_0011139,4
ISIC_0000137,5
ISIC_0065880,2
ISIC_0024431,3
ISIC_0026881,1
ISIC_0065249,7
ISIC_0065022,7
ISIC_0059267,7
ISIC_0026680,1
ISIC_0059418,7
ISIC_0061723,4
ISIC_0033383,3
ISIC_0026130,1
ISIC_0032815,5
ISIC_0014336,6
ISIC_0029929,2
ISIC_0058180,2
ISIC_0028143,4
ISIC_0067280,3
ISIC_0068374,1
ISIC_0066505,4
ISIC_0065082,3
ISIC_0026975,5
ISIC_0030080,7
ISIC_0013434,7
ISIC_0057172,6
ISIC_0062655,6
ISIC_0061832,2
ISIC_0072856,4
ISIC_0010046,3
ISIC_0061829,3
ISIC_0069291,7
ISIC_0058514,3
ISIC_0010357,2
ISIC_0060823,1
ISIC_0034285,2
ISIC_0026055,4
ISIC_0025394,5
ISIC_0055630,7
ISIC_0033196,1
ISIC_0030933,7
ISIC_0027324,5
ISIC_0027585,3
ISIC_0027182,3
ISIC_0034257,3
ISIC_0058298,4
ISIC_0031359,6
ISIC_0055876,3
ISIC_0053559,7
ISIC_0072257,2
ISIC_0056663,3
ISIC_0056521,2
ISIC_0025514,6
ISIC_0012887,4
ISIC_0033299,3
ISIC_0027422,7
ISIC_0029194,1
ISIC_0032613,7
ISIC_0032288,6
ISIC_0033218,4
ISIC_0033611,2
ISIC_0025420,1
ISIC_0031920,1
ISIC_0054796,1
ISIC_0000226,4
ISIC_0071975,2
ISIC_0028787,5
ISIC_0058538,7
ISIC_0055381,4
ISIC_0029922,7
ISIC_0010227,2
ISIC_0059943,7
ISIC_0032722,6
ISIC_0004337,7
ISIC_0013584,6
ISIC_0032830,2
ISIC_0026775,2
ISIC_0033284,7
ISIC_0072176,5
ISIC_0031676,2
ISIC_0067750,4
ISIC_0029098,1
ISIC_0027280,4
ISIC_0056189,3
ISIC_0055645,6
ISIC_0030068,2
ISIC_0060317,5
ISIC_0057693,3
ISIC_0014179,4
ISIC_0059361,2
ISIC_0028480,4
ISIC_0026263,7
ISIC_0032044,7
ISIC_0010171,1
ISIC_0030170,2
ISIC_0031959,6
ISIC_0026683,6
ISIC_0033591,5
ISIC_0031284,3
ISIC_0062935,3
ISIC_0034282,3
ISIC_0070380,3
ISIC_0054226,1
ISIC_0053521,6
ISIC_0013803,4
ISIC_0025991,8
ISIC_0010071,3
ISIC_0014543,1
ISIC_0033253,6
ISIC_0034190,1
ISIC_0030885,3
ISIC_0026201,2
ISIC_0028711,6
ISIC_0057672,1
ISIC_0071559,3
ISIC_0014612,3
ISIC_0011132,7
ISIC_0012693,3
ISIC_0058191,4
ISIC_0029410,2
ISIC_0056113,6
ISIC_0033366,2
ISIC_0070392,2
ISIC_0002647,5
ISIC_0059029,5
ISIC_0030662,6
ISIC_0067286,3
ISIC_0027462,2
ISIC_0071460,6
ISIC_0063179,2
ISIC_0030935,4
ISIC_0030335,4
ISIC_0029323,1
ISIC_0030908,4
ISIC_0067136,6
ISIC_0029796,3
ISIC_0027526,7
ISIC_0069873,6
ISIC_0071468,4
ISIC_0057385,2
ISIC_0067614,2
ISIC_0065233,3
ISIC_0030874,4
ISIC_0028637,2
ISIC_0033613,6
ISIC_0062784,2
ISIC_0032209,5
ISIC_0055993,6
ISIC_0058808,6
ISIC_0030090,6
ISIC_0059008,7
ISIC_0026563,5
ISIC_0072871,3
ISIC_0032942,2
ISIC_0055000,1
ISIC_0072287,5
ISIC_0032833,5
ISIC_0027949,6
ISIC_0024454,4
ISIC_0061423,2
ISIC_0014037,1
ISIC_0068184,2
ISIC_0029574,7
ISIC_0031064,2
ISIC_0032359,1
ISIC_0058429,6
ISIC_0067252,7
ISIC_0070643,4
ISIC_0025423,4
ISIC_0030065,2
ISIC_0067584,6
ISIC_0015118,4
ISIC_0032001,3
ISIC_0034239,3
ISIC_0063768,2
ISIC_0032307,3
ISIC_0033957,1
ISIC_0024550,3
ISIC_0063687,4
ISIC_0026063,1
ISIC_0000301,7
ISIC_0062559,1
ISIC_0061751,6
ISIC_0031169,4
ISIC_0070805,3
ISIC_0024704,1
ISIC_0072139,6
ISIC_0030539,3
ISIC_0033754,5
ISIC_0056411,7
ISIC_0012785,4
ISIC_0068770,1
ISIC_0032190,4
ISIC_0058344,2
ISIC_0060943,1
ISIC_0054448,7
ISIC_0066872,4
ISIC_0000327,6
ISIC_0027540,5
ISIC_0059968,1
ISIC_0057635,1
ISIC_0033781,5
ISIC_0025187,7
ISIC_0072825,1
ISIC_0069094,4
ISIC_0071632,7
ISIC_0029807,5
ISIC_0016066,6
ISIC_0026349,1
ISIC_0068656,1
ISIC_0033288,4
ISIC_0030198,6
ISIC_0032485,7
ISIC_0069471,7
ISIC_0030759,4
ISIC_0058723,3
ISIC_0069577,6
ISIC_0062868,5
ISIC_0055287,4
ISIC_0029434,1
ISIC_0070404,3
ISIC_0015938,3
ISIC_0026219,1
ISIC_0065169,4
ISIC_0026214,2
ISIC_0068177,7
ISIC_0056303,4
ISIC_0032764,1
ISIC_0057812,7
ISIC_0030324,6
ISIC_0027465,5
ISIC_0059235,3
ISIC_0025475,5
ISIC_0071176,4
ISIC_0030555,7
ISIC_0025623,1
ISIC_0065746,4
ISIC_0070460,8
ISIC_0063951,4
ISIC_0010461,3
ISIC_0069937,2
ISIC_0066390,5
ISIC_0070751,2
ISIC_0026444,3
ISIC_0063801,3
ISIC_0068353,7
ISIC_0028458,2
ISIC_0071751,1
ISIC_0058857,4
ISIC_0066395,3
ISIC_0003539,7
ISIC_0060601,5
ISIC_0031912,3
ISIC_0068116,6
ISIC_0067488,7
ISIC_0025266,4
ISIC_0030085,5
ISIC_0053599,6
ISIC_0059063,4
ISIC_0031450,3
ISIC_0030798,4
ISIC_0030444,6
ISIC_0066214,4
ISIC_0024931,3
ISIC_0010191,3
ISIC_0063290,3
ISIC_0033080,6
ISIC_0024909,6
ISIC_0057237,5
ISIC_0030016,7
ISIC_0027297,1
ISIC_0069038,5
ISIC_0028106,2
ISIC_0069929,3
ISIC_0068676,6
ISIC_0062087,3
ISIC_0068434,1
ISIC_0028401,6
ISIC_0069235,7
ISIC_0062712,7
ISIC_0033944,7
ISIC_0064733,1
ISIC_0033561,3
ISIC_0064761,6
ISIC_0070068,1
ISIC_0070297,4
ISIC_0025047,1
ISIC_0028158,5
ISIC_0001286,2
ISIC_0063076,7
ISIC_0026506,5
ISIC_0061230,7
ISIC_0032060,1
ISIC_0000006,1
ISIC_0030395,4
ISIC_0030604,6
ISIC_0025396,5
ISIC_0062664,7
ISIC_0064357,5
ISIC_0067251,1
ISIC_0012290,4
ISIC_0056501,5
ISIC_0053812,1
ISIC_0028237,4
ISIC_0027047,3
ISIC_0033769,6
ISIC_0030582,1
ISIC_0027380,1
ISIC_0034088,4
ISIC_0054592,5
ISIC_0025289,1
ISIC_0027397,3
ISIC_0031234,6
ISIC_0033093,2
ISIC_0032103,2
ISIC_0028430,5
ISIC_0031245,3
ISIC_0011146,7
ISIC_0057694,7
ISIC_0069181,1
ISIC_0030968,4
ISIC_0067639,7
ISIC_0057794,3
ISIC_0062513,1
ISIC_0031011,3
ISIC_0053456,5
ISIC_0066826,5
ISIC_0070727,3
ISIC_0069215,6
ISIC_0059869,6
ISIC_0062724,5
ISIC_0025791,1
ISIC_0025593,2
ISIC_0030956,6
ISIC_0028385,6
ISIC_0067205,7
ISIC_0070356,7
ISIC_0025368,4
ISIC_0031432,1
ISIC_0027915,5
ISIC_0063777,7
ISIC_0072340,3
ISIC_0031283,1
ISIC_0072675,7
ISIC_0031304,4
ISIC_0030381,3
ISIC_0010585,4
ISIC_0066002,4
ISIC_0065201,7
ISIC_0030452,7
ISIC_0027251,6
ISIC_0025121,4
ISIC_0000306,7
ISIC_0026380,7
ISIC_0028017,3
ISIC_0012656,3
ISIC_0000476,2
ISIC_0059295,6
ISIC_0029983,1
ISIC_0059421,1
ISIC_0053744,6
ISIC_0063683,5
ISIC_0054444,2
ISIC_0025653,6
ISIC_0064108,1
ISIC_0064033,3
ISIC_0068119,1
ISIC_0055893,3
ISIC_0032393,6
ISIC_0064417,7
ISIC_0027012,6
ISIC_0033419,6
ISIC_0071924,2
ISIC_0033047,7
ISIC_0030907,2
ISIC_0071168,4
ISIC_0015987,5
ISIC_0073181,6
ISIC_0055658,6
ISIC_0071308,6
ISIC_0029566,2
ISIC_0016054,7
ISIC_0056480,3
ISIC_0062710,7
ISIC_0072772,6
ISIC_0061639,4
ISIC_0059598,6
ISIC_0031886,3
ISIC_0071118,4
ISIC_0033412,7
ISIC_0058158,6
ISIC_0032953,1
ISIC_0027443,6
ISIC_0010371,4
ISIC_0026371,7
ISIC_0033005,5
ISIC_0008626,1
ISIC_0056512,5
ISIC_0000068,7
ISIC_0029650,5
ISIC_0053549,6
ISIC_0071748,3
ISIC_0026262,4
ISIC_0033382,5
ISIC_0071758,4
ISIC_0071133,6
ISIC_0057344,2
ISIC_0000154,1
ISIC_0010598,4
ISIC_0056073,3
ISIC_0061404,7
ISIC_0065503,2
ISIC_0056756,3
ISIC_0054761,1
ISIC_0056872,2
ISIC_0073254,5
ISIC_0029520,6
ISIC_0054487,3
ISIC_0026849,1
ISIC_0027238,5
ISIC_0058288,6
ISIC_0032433,5
ISIC_0053523,3
ISIC_0025699,6
ISIC_0066224,2
ISIC_0033954,2
ISIC_0069381,4
ISIC_0012211,3
ISIC_0055312,6
ISIC_0028356,6
ISIC_0032439,2
ISIC_0029225,4
ISIC_0062534,2
ISIC_0062240,8
ISIC_0059585,3
ISIC_0061652,2
ISIC_0067707,5
ISIC_0057059,6
ISIC_0000239,3
ISIC_0033289,7
ISIC_0027596,1
ISIC_0063735,5
ISIC_0065614,2
ISIC_0071108,5
ISIC_0063903,7
ISIC_0058940,4
ISIC_0054901,7
ISIC_0012386,6
ISIC_0057556,4
ISIC_0058661,4
ISIC_0012803,1
ISIC_0058098,5
ISIC_0067179,4
ISIC_0067838,1
ISIC_0029339,1
ISIC_0071471,7
ISIC_0031035,4
ISIC_0030812,4
ISIC_0000060,2
ISIC_0061955,2
ISIC_0057198,7
ISIC_0014931,2
ISIC_0028965,3
ISIC_0030954,1
ISIC_0060486,3
ISIC_0063485,2
ISIC_0000351,4
ISIC_0027264,5
ISIC_0067728,7
ISIC_0072666,2
ISIC_0071414,4
ISIC_0026927,2
ISIC_0061269,4
ISIC_0062911,1
ISIC_0028213,4
ISIC_0012786,4
ISIC_0013037,5
ISIC_0016048,1
ISIC_0032864,3
ISIC_0024999,6
ISIC_0031051,1
ISIC_0072035,3
ISIC_0000282,3
ISIC_0061008,2
ISIC_0026134,5
ISIC_0071501,2
ISIC_0013797,3
ISIC_0025911,3
ISIC_0029165,6
ISIC_0028487,2
ISIC_0070164,2
ISIC_0059604,3
ISIC_0055079,3
ISIC_0057501,1
ISIC_0058858,5
ISIC_0027630,4
ISIC_0011117,4
ISIC_0030544,1
ISIC_0034117,2
ISIC_0058631,2
ISIC_0070217,4
ISIC_0059952,1
ISIC_0056406,5
ISIC_0030632,6
ISIC_0026575,2
ISIC_0031000,1
ISIC_0025863,7
ISIC_0056900,2
ISIC_0033001,4
ISIC_0065796,2
ISIC_0013281,3
ISIC_0073031,5
ISIC_0054705,3
ISIC_0015363,4
ISIC_0027987,7
ISIC_0030667,2
ISIC_0065041,7
ISIC_0070862,4
ISIC_0070617,5
ISIC_0025419,7
ISIC_0008145,6
ISIC_0026860,5
ISIC_0024650,2
ISIC_0071946,3
ISIC_0029318,5
ISIC_0070990,7
ISIC_0024645,6
ISIC_0000524,3
ISIC_0025294,5
ISIC_0029092,6
ISIC_0030790,4
ISIC_0027794,7
ISIC_0058249,4
ISIC_0065342,6
ISIC_0013096,5
ISIC_0061824,3
ISIC_0062660,1
ISIC_0011126,6
ISIC_0060859,1
ISIC_0010440,6
ISIC_0066292,1
ISIC_0012660,6
ISIC_0033060,3
ISIC_0057511,7
ISIC_0056130,5
ISIC_0025629,2
ISIC_0057272,1
ISIC_0033209,1
ISIC_0025996,6
ISIC_0024715,7
ISIC_0031262,4
ISIC_0067175,3
ISIC_0065057,7
ISIC_0067858,6
ISIC_0066009,3
ISIC_0060682,1
ISIC_0063212,3
ISIC_0027296,5
ISIC_0058909,5
ISIC_0068089,4
ISIC_0054923,1
ISIC_0068766,4
ISIC_0062463,2
ISIC_0058950,7
ISIC_0028725,4
ISIC_0030361,3
ISIC_0015201,5
ISIC_0026396,7
ISIC_0028844,7
ISIC_0056643,6
ISIC_0072138,7
ISIC_0069236,7
ISIC_0027853,5
ISIC_0028366,6
ISIC_0073232,7
ISIC_0066190,4
ISIC_0030197,6
ISIC_0072637,5
ISIC_0063313,4
ISIC_0029373,2
ISIC_0015976,2
ISIC_0066834,6
ISIC_0071218,7
ISIC_0073081,6
ISIC_0013383,2
ISIC_0069404,5
ISIC_0055691,6
ISIC_0058224,7
ISIC_0067510,6
ISIC_0034130,7
ISIC_0068057,4
ISIC_0056546,1
ISIC_0057415,1
ISIC_0012333,7
ISIC_0072025,3
ISIC_0073119,5
ISIC_0061281,2
ISIC_0030621,7
ISIC_0024468,2
ISIC_0024641,1
ISIC_0013626,7
ISIC_0029413,1
ISIC_0060698,4
ISIC_0032653,2
ISIC_0032272,5
ISIC_0028900,7
ISIC_0056979,5
ISIC_0054629,6
ISIC_0064617,2
ISIC_0029795,6
ISIC_0027203,6
ISIC_0031760,2
ISIC_0030507,2
ISIC_0067647,2
ISIC_0055375,1
ISIC_0012433,6
ISIC_0068927,6
ISIC_0027215,7
ISIC_0067597,4
ISIC_0063945,5
ISIC_0064148,1
ISIC_0061243,5
ISIC_0053685,5
ISIC_0030057,2
ISIC_0057523,5
ISIC_0000163,8
ISIC_0027405,4
ISIC_0034226,1
ISIC_0060111,7
ISIC_0026980,6
ISIC_0013393,1
ISIC_0024685,7
ISIC_0072474,5
ISIC_0062310,4
ISIC_0027579,2
ISIC_0070899,7
ISIC_0010216,5
ISIC_0062917,1
ISIC_0073136,6
ISIC_0061940,4
ISIC_0030904,1
ISIC_0063720,7
ISIC_0033222,7
ISIC_0032848,3
ISIC_0055609,4
ISIC_0063994,5
ISIC_0055486,4
ISIC_0055305,2
ISIC_0065804,7
ISIC_0060660,7
ISIC_0056241,6
ISIC_0026623,7
ISIC_0014618,1
ISIC_0011081,2
ISIC_0067346,3
ISIC_0069406,6
ISIC_0012493,7
ISIC_0069184,4
ISIC_0024821,2
ISIC_0067159,5
ISIC_0053660,2
ISIC_0068673,5
ISIC_0054461,2
ISIC_0012706,7
ISIC_0061679,7
ISIC_0033082,5
ISIC_0070113,1
ISIC_0014163,1
ISIC_0025487,7
ISIC_0069098,7
ISIC_0025901,5
ISIC_0070463,2
ISIC_0064493,4
ISIC_0025673,4
ISIC_0032927,1
ISIC_0059435,7
ISIC_0069264,4
ISIC_0063662,2
ISIC_0056940,4
ISIC_0026912,7
ISIC_0070875,6
ISIC_0031233,6
ISIC_0055840,6
ISIC_0069619,2
ISIC_0033435,7
ISIC_0012148,4
ISIC_0056707,1
ISIC_0060764,3
ISIC_0059240,1
ISIC_0069422,5
ISIC_0064576,4
ISIC_0030902,1
ISIC_0054368,2
ISIC_0072895,3
ISIC_0014936,7
ISIC_0060948,4
ISIC_0072290,4
ISIC_0028969,1
ISIC_0066461,6
ISIC_0059546,3
ISIC_0068577,7
ISIC_0000250,1
ISIC_0063439,7
ISIC_0061899,5
ISIC_0024674,2
ISIC_0062756,6
ISIC_0053983,5
ISIC_0010168,4
ISIC_0063250,6
ISIC_0070104,5
ISIC_0066098,7
ISIC_0033779,5
ISIC_0034155,6
ISIC_0031195,4
ISIC_0030369,3
ISIC_0032974,3
ISIC_0063631,3
ISIC_0061696,5
ISIC_0064281,1
ISIC_0014979,7
ISIC_0060302,4
ISIC_0013995,1
ISIC_0064548,1
ISIC_0031699,2
ISIC_0061092,6
ISIC_0030650,1
ISIC_0025210,2
ISIC_0034202,5
ISIC_0070375,3
ISIC_0033111,4
ISIC_0030302,7
ISIC_0057077,5
ISIC_0062163,2
ISIC_0027337,1
ISIC_0026678,6
ISIC_0062684,3
ISIC_0056393,4
ISIC_0028580,2
ISIC_0012544,1
ISIC_0056229,2
ISIC_0032384,6
ISIC_0065666,7
ISIC_0058246,6
ISIC_0026605,7
ISIC_0014327,1
ISIC_0061905,3
ISIC_0033510,7
ISIC_0014904,3
ISIC_0012990,1
ISIC_0000205,5
ISIC_0071797,6
ISIC_0024629,1
ISIC_0008236,1
ISIC_0015455,1
ISIC_0025328,1
ISIC_0010025,2
ISIC_0054865,6
ISIC_0026502,5
ISIC_0033814,3
ISIC_0027865,5
ISIC_0063369,5
ISIC_0069669,2
ISIC_0014797,7
ISIC_0068489,5
ISIC_0034162,4
ISIC_0061209,1
ISIC_0064343,6
ISIC_0033069,4
ISIC_0057754,6
ISIC_0063546,3
ISIC_0061964,6
ISIC_0067389,1
ISIC_0032229,7
ISIC_0032517,6
ISIC_0013799,1
ISIC_0015233,7
ISIC_0063946,3
ISIC_0010342,6
ISIC_0058586,7
ISIC_0062265,4
ISIC_0061186,4
ISIC_0063352,3
ISIC_0025842,4
ISIC_0033423,2
ISIC_0070860,2
ISIC_0054933,7
ISIC_0071623,6
ISIC_0060039,6
ISIC_0058711,2
ISIC_0031556,3
ISIC_0027821,1
ISIC_0072380,1
ISIC_0031850,3
ISIC_0024407,1
ISIC_0027187,3
ISIC_0029484,4
ISIC_0065192,1
ISIC_0060098,7
ISIC_0071408,2
ISIC_0031006,5
ISIC_0059714,6
ISIC_0028525,2
ISIC_0013208,5
ISIC_0033894,4
ISIC_0057481,7
ISIC_0029956,3
ISIC_0014222,7
ISIC_0056661,5
ISIC_0027222,7
ISIC_0033116,2
ISIC_0055940,4
ISIC_0025347,7
ISIC_0071850,1
ISIC_0073004,3
ISIC_0014867,7
ISIC_0029859,6
ISIC_0058010,7
ISIC_0065439,4
ISIC_0011310,7
ISIC_0011120,6
ISIC_0032244,7
ISIC_0058852,4
ISIC_0055853,2
ISIC_0062718,2
ISIC_0029578,7
ISIC_0027891,1
ISIC_0000204,4
ISIC_0061181,8
ISIC_0072767,1
ISIC_0061014,4
ISIC_0069879,2
ISIC_0028353,4
ISIC_0061858,3
ISIC_0058443,5
ISIC_0031117,6
ISIC_0062231,5
ISIC_0032596,7
ISIC_0030879,6
ISIC_0033074,5
ISIC_0067163,2
ISIC_0056176,4
ISIC_0072363,5
ISIC_0030246,7
ISIC_0026336,7
ISIC_0025024,7
ISIC_0067927,5
ISIC_0061085,7
ISIC_0063381,5
ISIC_0026951,6
ISIC_0062706,7
ISIC_0054655,7
ISIC_0056118,5
ISIC_0013800,2
ISIC_0030553,2
ISIC_0029585,1
ISIC_0059941,6
ISIC_0056614,3
ISIC_0024344,6
ISIC_0068401,6
ISIC_0053769,5
ISIC_0068827,2
ISIC_0060467,4
ISIC_0073225,6
ISIC_0024918,3
ISIC_0060041,5
ISIC_0058163,1
ISIC_0028791,3
ISIC_0010249,1
ISIC_0059846,3
ISIC_0059443,6
ISIC_0026169,6
ISIC_0025082,7
ISIC_0072042,4
ISIC_0033695,4
ISIC_0010444,1
ISIC_0071344,7
ISIC_0026600,5
ISIC_0055862,4
ISIC_0069441,4
ISIC_0031235,7
ISIC_0064741,6
ISIC_0010056,6
ISIC_0069093,5
ISIC_0031047,4
ISIC_0028863,1
ISIC_0028518,2
